genus_species,Order,Family,Genus,Species,tiplabel,SVL_mm,Mass_g,rootmass,ED_right_mm,ED_left_mm,eyemean,CD_right_mm,CD_left_mm,cormean,Adult_habitat,Activity_period,Mating_habitat,Life_history,Larval_habitat,Sex_dichromatism
Brachycephalus_ephippium,Anura,Brachycephalidae,Brachycephalus,ephippium,Brachycephalus_ephippium_Brachycephalidae,18.8,1,1,2.6,2.6,2.6,1.9,1.9,1.9,Subfossorial,Diurnal,Ground,No free-living larvae,No larvae,Absent
Brachycephalus_ephippium,Anura,Brachycephalidae,Brachycephalus,ephippium,Brachycephalus_ephippium_Brachycephalidae,15.2,0.8,0.928317767,2.5,2.2,2.35,1.7,1.8,1.75,Subfossorial,Diurnal,Ground,No free-living larvae,No larvae,Absent
Brachycephalus_ephippium,Anura,Brachycephalidae,Brachycephalus,ephippium,Brachycephalus_ephippium_Brachycephalidae,14.9,0.7,0.887904002,2.4,2.1,2.25,1.7,1.6,1.65,Subfossorial,Diurnal,Ground,No free-living larvae,No larvae,Absent
Breviceps_mossambicus,Anura,Brevicipitidae,Breviceps,mossambicus,Breviceps_mossambicus_Brevicipitidae,37.4,12,2.289428485,4.7,4.4,4.55,3.5,3,3.25,Subfossorial,Nocturnal,Ground,No free-living larvae,No larvae,Absent
Breviceps_mossambicus,Anura,Brevicipitidae,Breviceps,mossambicus,Breviceps_mossambicus_Brevicipitidae,42.3,8.2,2.016529675,4.9,4.5,4.7,3.6,3.6,3.6,Subfossorial,Nocturnal,Ground,No free-living larvae,No larvae,Absent
Bufo_bufo,Anura,Bufonidae,Bufo,bufo,Bufo_bufo_Bufonidae,61.3,25.2,2.931794418,7,6.8,6.9,4.8,4.7,4.75,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Present
Bufo_bufo,Anura,Bufonidae,Bufo,bufo,Bufo_bufo_Bufonidae,63.6,26.1,2.966289281,8,7.6,7.8,5.3,4.8,5.05,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Present
Bufo_bufo,Anura,Bufonidae,Bufo,bufo,Bufo_bufo_Bufonidae,89.3,108,4.762203156,10.1,10.5,10.3,6.9,7.2,7.05,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Present
Bufotes_viridis,Anura,Bufonidae,Bufotes,viridis,Bufotes_viridis_Bufonidae,69,41.2,3.453815005,9.3,8.5,8.9,6.8,6.5,6.65,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Present
Bufotes_viridis,Anura,Bufonidae,Bufotes,viridis,Bufotes_viridis_Bufonidae,57.2,19.4,2.686997382,7.5,7.7,7.6,5.8,5.8,5.8,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Present
Bufotes_viridis,Anura,Bufonidae,Bufotes,viridis,Bufotes_viridis_Bufonidae,55,16.6,2.550954404,7.4,7.2,7.3,5.4,5.3,5.35,Ground-dwelling,Nocturnal,Lentic water,Free-living larvae,Lentic water,Present
Callulina_kreffti,Anura,Brevicipitidae,Callulina,kreffti,Callulina_kreffti_Brevicipitidae,29.2,3,1.44224957,4.2,4.4,4.3,3.4,3.3,3.35,Scansorial,Nocturnal,Plants,No free-living larvae,No larvae,Absent
Callulina_kreffti,Anura,Brevicipitidae,Callulina,kreffti,Callulina_kreffti_Brevicipitidae,28.8,2.1,1.280579165,3.7,3.3,3.5,2.3,3.1,2.7,Scansorial,Nocturnal,Plants,No free-living larvae,No larvae,Absent
Callulina_kreffti,Anura,Brevicipitidae,Callulina,kreffti,Callulina_kreffti_Brevicipitidae,28.2,3.4,1.503694596,4.1,3.9,4,3,3,3,Scansorial,Nocturnal,Plants,No free-living larvae,No larvae,Absent
Calyptocephalella_gayi,Anura,Calyptocephalellidae,Calyptocephalella,gayi,Calyptocephalella_gayi_Calyptocephalellidae,136.2,408,7.416859539,12.5,13.5,13,9.9,9,9.45,Semiaquatic,Both,Lentic water,Free-living larvae,NA,Absent
Calyptocephalella_gayi,Anura,Calyptocephalellidae,Calyptocephalella,gayi,Calyptocephalella_gayi_Calyptocephalellidae,124.3,310,6.767899452,13.3,13.4,13.35,9.7,9.8,9.75,Semiaquatic,Both,Lentic water,Free-living larvae,NA,Absent
